batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss,margin
32,0.0014219881977427,Adam,0.7436257609489716,0.0007962540183467,11,0.3689189189189189,0.4486731588840484,0.6319069380972164,0.3459459459459459,0.8520295023918152,468,274,272,466,0.3900478909964914,0.6153554182511664
16,0.0313328103845007,SGD,0.8418273900704041,2.479826210436668e-05,43,0.1810810810810811,2.2868545055389404,0.8202702702702702,0.6554054054054054,2.525068759918213,607,133,133,607,0.0061042108486785,0.7124585597686612
16,0.0002706868720031,SGD,0.5886305165962817,0.014213096035084,49,0.2081081081081081,1.0918254852294922,0.790905315614618,0.5945945945945946,1.3464996814727783,586,157,154,583,0.0386568095224599,0.9397008840514118
32,0.0031613996287227,SGD,0.5712880688015446,0.0244556151443941,32,0.1932432432432432,1.0285104513168335,0.8084442595673876,0.6270270270270271,1.0712165832519531,598,141,142,599,0.0102633521202261,0.9614686750321793
16,0.0027126359342697,SGD,0.7942811701826072,3.176369985569824e-05,16,0.1945945945945946,1.3429102897644043,0.8050706566916043,0.6229729729729729,1.738308072090149,596,145,144,595,0.0122146795986703,0.8462481554754404
16,7.344121669274718e-05,SGD,0.7259494078668173,0.0003754474404859,41,0.25,0.9313564300537108,0.7516638935108153,0.5391891891891891,1.2287821769714355,556,183,184,557,0.1812847487766433,0.979525394170615
16,0.0037116999268704,Adam,0.8851293505856541,8.202159648666646e-05,26,0.354054054054054,0.1417878121137619,0.6472972972972973,0.3189189189189189,0.1916994899511337,479,261,261,479,0.1263116265267685,0.202606350850303
32,0.0751357234861637,SGD,0.758022726790917,0.0001107793453045,24,0.2121621621621621,1.3043663501739502,0.7875103906899418,0.5986486486486486,1.668629765510559,583,158,157,582,0.0140552009904274,0.3901496164345538
32,0.0198428635949377,SGD,0.6604483685122695,1.2663777365612869e-05,48,0.2351351351351351,0.8395217061042786,0.764546965918537,0.55,1.0821270942687988,566,175,174,565,0.0033720502526395,0.3763608906074248
32,0.0247607948787282,Adam,0.8768675911645135,0.0019932608930695,30,0.4027027027027027,0.1858980357646942,0.5986486486486486,0.2162162162162161,0.1299198120832443,443,297,297,443,0.4901886132580262,0.6215870797664708
16,0.0085207352742016,SGD,0.5427498931393722,5.558744653039912e-05,49,0.1689189189189189,1.0679535865783691,0.8320864505403158,0.681081081081081,1.275233268737793,616,125,124,615,0.0009008972319187,0.4547779517472401
16,0.0054917771575028,Adam,0.5543428503705019,0.0021831739864004,44,0.3932432432432432,0.4415698945522308,0.6076028250934774,0.2445945945945946,1.0700349807739258,450,292,290,448,0.6104866986473402,0.8780191947629918
16,0.007438314256465,SGD,0.6951417340492534,0.0001687921453375,24,0.2297297297297297,0.543704092502594,0.7699501246882793,0.5432432432432432,0.5560992956161499,570,171,170,569,0.0033073820954154,0.2109365887536549
16,0.0002505765519001,Adam,0.7130170639126079,0.0223704438653346,25,0.336,0.322282612323761,0.665060488004921,0.368,0.5028061866760254,499,252,251,498,0.3257680650461804,0.5183873218188404
32,0.0086527958313514,Adam,0.8285736048795539,0.0377937486564484,42,0.3653333333333333,0.3822377324104309,0.6341463414634146,0.2773333333333333,0.3290956020355224,476,276,274,474,0.7032077615911311,0.9128680410918776
