batch_size,learning_rate,optimizer,momentum,weight_decay,num_epochs,eer,eer_threshold,fbeta,ks_statistic_val,optimal_threshold_val,True_Positives,False_Positives,False_Negatives,True_Negatives,final_loss
16,3.251257365610739e-05,SGD,0.6289463285316217,0.0578736338242834,26,0.3226666666666666,1.0128161907196045,0.6767780282844845,0.3653333333333333,1.082188606262207,508,244,242,506,0.8171897649765014
64,0.0004388658282454,SGD,0.7654069153112621,0.0001451106397762,43,0.1693333333333333,1.7045700550079346,0.8289662231320368,0.6759999999999999,1.770210027694702,623,132,127,618,0.2006463133137334
32,0.003134155429783,Adam,0.5342989645312733,0.0001217377133485,23,0.108,2.744553804397583,0.892,0.7906666666666667,2.571993350982666,669,81,81,669,0.140265637805516
16,0.0009537210762833,Adam,0.8571226371578204,0.075680063809997,34,0.224,0.4191664159297943,0.777014558129998,0.5640000000000001,0.4521182477474212,583,168,167,582,0.4525058012117039
16,9.177096815311325e-05,Adam,0.8541673947535379,0.0223844381267495,18,0.096,1.2723233699798584,0.9032588645214183,0.812,1.2925560474395752,678,74,72,676,0.0933582314036109
16,0.0105971349308413,Adam,0.6137305575031264,0.0427447711908501,47,0.3026666666666666,0.4500672519207001,0.6983801517326225,0.444,0.5957804918289185,524,227,226,523,0.5438060026277195
16,0.018671951896414,SGD,0.589126489730572,1.0753260159019051e-05,22,0.0746666666666666,3.07079553604126,0.9249538650809924,0.8506666666666667,3.103332996368408,694,57,56,693,0.0094691670372743
16,0.0015553477831486,SGD,0.732044492074384,0.0030262688256277,12,0.1933333333333333,1.5929099321365356,0.8063358622103752,0.64,1.7811144590377808,605,146,145,604,0.2750446559353308
32,0.0682869806451351,Adam,0.837025662863808,2.9613133256601e-05,46,0.2213333333333333,1.9303247928619385,0.7771305947271613,0.5760000000000001,1.257230281829834,585,174,165,576,0.6658010646362197
16,0.000173026524436,SGD,0.889464167938403,0.0006544068691824,50,0.16,1.7019833326339722,0.8413333333333334,0.6906666666666667,1.713351845741272,631,119,119,631,0.1870470983399586
16,0.0375626507017485,SGD,0.6620697381764087,0.0874889825196786,45,0.0,inf,0.7647058823529411,0.0,inf,750,750,0,0,1.0
64,0.0025144075432629,Adam,0.8183620230920801,0.0001084255350413,44,0.0746666666666666,3.150282621383667,0.9262866516301004,0.8546666666666667,3.2557473182678223,695,56,55,694,0.0597929901189424
64,0.0024579036858503,Adam,0.5604631305245076,0.0046738939816877,35,0.06,0.9696731567382812,0.9405615904898544,0.8813333333333333,0.9748124480247498,706,46,44,704,0.098251595754515
16,0.0005998590865422,SGD,0.705963637196755,0.0035019611408554,42,0.1453333333333333,1.618236064910889,0.856,0.7240000000000001,1.795840620994568,642,108,108,642,0.1799756919118491
64,9.730544251528534e-05,Adam,0.7346997204369103,8.004939044971094e-05,31,0.0493333333333333,3.559884786605835,0.9516095960631537,0.912,3.7277369499206543,714,37,36,713,0.0050093934955922
32,0.0128840364485533,SGD,0.601479482946359,0.0139968495782995,18,0.1044444444444444,1.386047601699829,0.8952494873547505,0.7944444444444445,1.4487534761428833,806,95,94,805,0.0870925674468956
64,5.3858283300537975e-05,SGD,0.6384585170049464,0.0374845928434476,14,0.3377777777777778,1.0103737115859983,0.6633333333333333,0.3366666666666666,1.0240020751953125,597,303,303,597,0.7961886023933237
64,0.0012872988466197,SGD,0.772315290062634,0.0251891278034093,15,0.2,1.1620252132415771,0.8005637171165015,0.61,1.3920077085494995,721,181,179,719,0.2934637980704958
16,1.5489007070457684e-05,SGD,0.8264418607820951,0.0003703087759593,43,0.3133333333333333,1.104802131652832,0.6875427204374572,0.3911111111111111,1.138413906097412,619,282,281,618,0.7336345400774118
32,0.0004129461548707,Adam,0.5313694494090863,0.0021941646123918,44,0.1066666666666666,2.4314565658569336,0.893028024606972,0.79,2.557766914367676,804,97,96,803,0.0556035296652804
32,0.0025048065860591,Adam,0.8170909384994103,4.350785494110445e-05,16,0.1288888888888889,3.153449296951294,0.8719241285030759,0.7655555555555555,2.8404428958892822,785,116,115,784,0.1722729018127376
64,0.0005236441429805,SGD,0.8159118763489055,0.0152772590417109,15,0.2711111111111111,1.3132859468460083,0.7286397812713602,0.5033333333333334,1.5710911750793457,656,245,244,655,0.4297860486037803
64,0.0002080976594128,SGD,0.7824406350214543,0.0066358865200982,17,0.2944444444444444,1.202092528343201,0.7055555555555556,0.4288888888888889,1.2150063514709473,635,265,265,635,0.5465412496617346
